sample.id	pop	moeregion	subregion	fourclusters	threeclusters	onecluster
R06-GI-LV-27	R06-GI-LV	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-LV-28	R06-GI-LV	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-LV-29	R06-GI-LV	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-01	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-02	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-03	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-04	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-05	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-06	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-07	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-08	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-09	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-10	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-MY-28	R06-GI-MY	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-RR-01	R06-GI-RR	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-RR-03	R06-GI-RR	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-RR-04	R06-GI-RR	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-RR-15	R06-GI-RR	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-RR-18	R06-GI-RR	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-GI-RR-29	R06-GI-RR	R06	R06-GI	HaidaGwai	HaidaGwai	one
R06-MI-MM-04	R06-MI-MM	R06	R06-MI	HaidaGwai	HaidaGwai	one
R06-MI-MM-05	R06-MI-MM	R06	R06-MI	HaidaGwai	HaidaGwai	one
R06-MI-MM-09	R06-MI-MM	R06	R06-MI	HaidaGwai	HaidaGwai	one
R06-MI-MM-10	R06-MI-MM	R06	R06-MI	HaidaGwai	HaidaGwai	one
R06-MI-MM-17	R06-MI-MM	R06	R06-MI	HaidaGwai	HaidaGwai	one
R06-MI-MM-18	R06-MI-MM	R06	R06-MI	HaidaGwai	HaidaGwai	one
R06-MI-MM-23	R06-MI-MM	R06	R06-MI	HaidaGwai	HaidaGwai	one
R06-MI-MM-25	R06-MI-MM	R06	R06-MI	HaidaGwai	HaidaGwai	one
R06-MI-MM-26	R06-MI-MM	R06	R06-MI	HaidaGwai	HaidaGwai	one
R06-SK-FE-01	R06-SK-FE	R06	R06-SK	Northwest	Northwest	one
R06-SK-FE-03	R06-SK-FE	R06	R06-SK	Northwest	Northwest	one
R06-SK-FE-04	R06-SK-FE	R06	R06-SK	Northwest	Northwest	one
R06-SK-FE-05	R06-SK-FE	R06	R06-SK	Northwest	Northwest	one
R06-SK-FE-07	R06-SK-FE	R06	R06-SK	Northwest	Northwest	one
R06-SK-FE-13	R06-SK-FE	R06	R06-SK	Northwest	Northwest	one
R06-SK-FE-20	R06-SK-FE	R06	R06-SK	Northwest	Northwest	one
R06-SK-ON-03	R06-SK-ON	R06	R06-SK	Northwest	Northwest	one
R06-SK-ON-04	R06-SK-ON	R06	R06-SK	Northwest	Northwest	one
R06-SK-ON-13	R06-SK-ON	R06	R06-SK	Northwest	Northwest	one
R06-SK-ON-14	R06-SK-ON	R06	R06-SK	Northwest	Northwest	one
R06-SK-ON-25	R06-SK-ON	R06	R06-SK	Northwest	Northwest	one
R06-SK-ON-26	R06-SK-ON	R06	R06-SK	Northwest	Northwest	one
R06-SK-ON-27	R06-SK-ON	R06	R06-SK	Northwest	Northwest	one
R06-SK-ON-28	R06-SK-ON	R06	R06-SK	Northwest	Northwest	one
R06-SK-ON-29	R06-SK-ON	R06	R06-SK	Northwest	Northwest	one
R06-SK-ON-30	R06-SK-ON	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-01	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-02	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-03	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-05	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-06	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-07	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-09	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-10	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-11	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-12	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-13	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-14	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-15	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-16	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
R06-SK-ML-17	R06-SK-ML	R06	R06-SK	Northwest	Northwest	one
